Number,Player,Pos,HT,WT,Age,Current Team,YOS,Pre-Draft Team,Draft Status,Nationality
14,Danny Green,SF,6-Jun,220,34,Philadelphia Sixers,12,North Carolina,2009 Rnd 2 Pick 16,United States
23,Draymond Green,F,6-Jun,235,31,Golden State Warriors,9,Michigan State,2012 Rnd 2 Pick 5,United States
0,JaMychal Green,PF,8-Jun,227,31,Denver Nuggets,7,Alabama,"2012 NBA Draft, Undrafted",United States
0,Jalen Green,SG,6-Jun,178,19,Houston Rockets,0,NBA G League Ignite,2021 Rnd 1 Pick 2,United States
24,Javonte Green,G,4-Jun,205,28,Chicago Bulls,2,Radford,"2015 NBA Draft, Undrafted",United States
32,Jeff Green,F,8-Jun,235,35,Denver Nuggets,13,Georgetown,2007 Rnd 1 Pick 5,United States
8,Josh Green,SG,6-Jun,210,21,Dallas Mavericks,1,Arizona,2020 Rnd 1 Pick 18,United States
2,Blake Griffin,PF,9-Jun,246,32,Brooklyn Nets,12,Oklahoma,2009 Rnd 1 Pick 1,United States
6,Quentin Grimes,SG,5-Jun,205,21,New York Knicks,0,Houston,2021 Rnd 1 Pick 25,United States
8,Rui Hachimura,F,8-Jun,230,23,Washington Wizards,2,Gonzaga,2019 Rnd 1 Pick 9,Japan
0,Tyrese Haliburton,PG,5-Jun,172,21,Sacramento Kings,1,Iowa State,2020 Rnd 1 Pick 12,United States
13,RJ Hampton,G,6-Jun,176,20,Orlando Magic,1,New Zealand (New Zealand),2020 Rnd 1 Pick 24,United States
11,Tim Hardaway Jr.,SG,5-Jun,205,29,Dallas Mavericks,8,Michigan,2013 Rnd 1 Pick 24,United States
13,James Harden,SG,5-Jun,220,32,Brooklyn Nets,12,Arizona State,2009 Rnd 1 Pick 3,United States
8,Maurice Harkless,F,9-Jun,220,28,Sacramento Kings,9,St. John's,2012 Rnd 1 Pick 15,United States
6,Montrezl Harrell,F,7-Jun,240,27,Washington Wizards,6,Louisville,2015 Rnd 2 Pick 2,United States
14,Gary Harris,SG,4-Jun,205,27,Orlando Magic,7,Michigan State,2014 Rnd 1 Pick 19,United States
12,Joe Harris,SG,6-Jun,220,30,Brooklyn Nets,7,Virginia,2014 Rnd 2 Pick 3,United States
33,Tobias Harris,F,7-Jun,230,29,Philadelphia Sixers,10,Tennessee,2011 Rnd 1 Pick 19,United States
3,Josh Hart,SG,5-Jun,215,26,New Orleans Pelicans,4,Villanova,2017 Rnd 1 Pick 30,United States
55,Isaiah Hartenstein,PF,1-Jul,250,23,Los Angeles Clippers,3,Zalgiris (Lithuania),2017 Rnd 2 Pick 13,United States
40,Udonis Haslem,FC,8-Jun,235,41,Miami Heat,18,Florida,"2002 NBA Draft, Undrafted",United States
30,Sam Hauser,SF,8-Jun,215,24,Boston Celtics,0,Virginia,"2021 NBA Draft, Undrafted",United States
10,Jaxson Hayes,PF,11-Jun,220,21,New Orleans Pelicans,2,Texas,2019 Rnd 1 Pick 8,United States
7,Killian Hayes,G,5-Jun,216,20,Detroit Pistons,1,Ratiopharm Ulm (Germany),2020 Rnd 1 Pick 7,France
20,Gordon Hayward,GF,7-Jun,230,31,Charlotte Hornets,11,Butler,2010 Rnd 1 Pick 9,United States
50,Aaron Henry,F,5-Jun,220,22,Philadelphia Sixers,0,Michigan State,"2021 NBA Draft, Undrafted",United States
41,Juancho Hernangomez,F,9-Jun,214,26,Boston Celtics,5,Movistar Estudiantes (Spain),2016 Rnd 1 Pick 15,Spain
9,Willy Hernangomez,C,11-Jun,250,27,New Orleans Pelicans,5,Cajasol Seville U18 (Spain),2015 Rnd 2 Pick 5,Spain
14,Tyler Herro,SG,6-Jun,195,21,Miami Heat,2,Kentucky,2019 Rnd 1 Pick 13,United States
24,Buddy Hield,G,4-Jun,220,28,Sacramento Kings,5,Oklahoma,2016 Rnd 1 Pick 6,Bahamas
3,George Hill,G,3-Jun,188,35,Milwaukee Bucks,13,IUPUI,2008 Rnd 1 Pick 26,United States
18,Solomon Hill,SF,6-Jun,226,30,Atlanta Hawks,8,Arizona,2013 Rnd 1 Pick 23,United States
4,Aaron Holiday,PG,1-Jun,185,25,Washington Wizards,3,UCLA,2018 Rnd 1 Pick 23,United States
21,Jrue Holiday,G,4-Jun,205,31,Milwaukee Bucks,12,UCLA,2009 Rnd 1 Pick 17,United States
8,Justin Holiday,SF,6-Jun,181,32,Indiana Pacers,8,Washington,"2011 NBA Draft, Undrafted",United States
22,Richaun Holmes,F,10-Jun,240,28,Sacramento Kings,6,Bowling Green,2015 Rnd 2 Pick 7,United States
34,Daulton Hommes,G,8-Jun,215,25,New Orleans Pelicans,0,Point Loma,"2019 NBA Draft, Undrafted",United States
5,Rodney Hood,F,8-Jun,205,29,Milwaukee Bucks,7,Duke,2014 Rnd 1 Pick 23,United States
42,Al Horford,FC,9-Jun,240,35,Boston Celtics,14,Florida,2007 Rnd 1 Pick 3,Dominican Republic
5,Talen Horton-Tucker,SF,4-Jun,233,21,Los Angeles Lakers,2,Iowa State,2019 Rnd 2 Pick 16,United States
4,Danuel House,F,6-Jun,215,28,Houston Rockets,5,Texas A&M,"2016 NBA Draft, Undrafted",United States
39,Dwight Howard,C,11-Jun,265,35,Los Angeles Lakers,17,Southwest Atlanta Christian Academy (Georgia),2004 Rnd 1 Pick 1,United States
0,Markus Howard,SG,11-May,180,23,Denver Nuggets,1,Marquette,"2020 NBA Draft, Undrafted",United States
3,Kevin Huerter,SF,7-Jun,190,23,Atlanta Hawks,3,Maryland,2018 Rnd 1 Pick 19,United States
30,Jay Huff,C,1-Jul,240,23,Los Angeles Lakers,0,Virginia,"2021 NBA Draft, Undrafted",United States
33,Elijah Hughes,SF,6-Jun,215,23,Utah Jazz,1,Syracuse,2020 Rnd 2 Pick 9,United States
12,De'Andre Hunter,PF,7-Jun,225,24,Atlanta Hawks,2,Virginia,2019 Rnd 1 Pick 4,United States
35,Chandler Hutchison,SG,7-Jun,210,25,Phoenix Suns,3,Boise State,2018 Rnd 1 Pick 22,United States
3,Bones Hyland,G,3-Jun,173,21,Denver Nuggets,0,VCU,2021 Rnd 1 Pick 26,United States
9,Serge Ibaka,C,10-Jun,235,32,Los Angeles Clippers,12,CB L'Hospitalet (Spain),2008 Rnd 1 Pick 24,Republic of the Congo
9,Andre Iguodala,SF,6-Jun,215,37,Golden State Warriors,17,Arizona,2004 Rnd 1 Pick 9,United States
2,Joe Ingles,F,8-Jun,226,34,Utah Jazz,7,Melbourne South (Australia),"2009 NBA Draft, Undrafted",Australia
14,Brandon Ingram,SF,7-Jun,190,24,New Orleans Pelicans,5,Duke,2016 Rnd 1 Pick 2,United States
11,Kyrie Irving,G,2-Jun,195,29,Brooklyn Nets,10,Duke,2011 Rnd 1 Pick 1,United States
1,Jonathan Isaac,SF,10-Jun,230,24,Orlando Magic,4,Florida State,2017 Rnd 1 Pick 6,United States
5,Frank Jackson,SG,3-Jun,205,23,Detroit Pistons,4,Duke,2017 Rnd 2 Pick 1,United States
23,Isaiah Jackson,PF,10-Jun,206,19,Indiana Pacers,0,Kentucky,2021 Rnd 1 Pick 22,United States
20,Josh Jackson,SF,8-Jun,207,24,Detroit Pistons,4,Kansas,2017 Rnd 1 Pick 4,United States
13,"Jaren Jackson, Jr.",PF,11-Jun,242,22,Memphis Grizzlies,3,Michigan State,2018 Rnd 1 Pick 4,United States
1,Reggie Jackson,G,2-Jun,208,31,Los Angeles Clippers,10,Boston College,2011 Rnd 1 Pick 24,Italy
6,LeBron James,F,8-Jun,250,36,Los Angeles Lakers,18,St. Vincent St. Mary High School (Ohio),2003 Rnd 1 Pick 1,United States
17,DeJon Jarreau,PG,5-Jun,185,24,Indiana Pacers,0,Houston,"2021 NBA Draft, Undrafted",United States
10,Ty Jerome,PG,5-Jun,195,24,Oklahoma City Thunder,2,Virginia,2019 Rnd 1 Pick 24,United States
7,Isaiah Joe,SG,3-Jun,175,22,Philadelphia Sixers,1,Arkansas,2020 Rnd 2 Pick 19,United States
22,Alize Johnson,SF,7-Jun,212,25,Chicago Bulls,3,Missouri State,2018 Rnd 2 Pick 20,United States
23,Cameron Johnson,G,9-Jun,210,25,Phoenix Suns,2,North Carolina,2019 Rnd 1 Pick 11,United States
13,David Johnson,SG,5-Jun,210,21,Toronto Raptors,0,Louisville,2021 Rnd 2 Pick 17,United States
1,Jalen Johnson,PF,9-Jun,220,19,Atlanta Hawks,0,Duke,2021 Rnd 1 Pick 20,United States
16,James Johnson,F,7-Jun,235,34,Brooklyn Nets,12,Wake Forest,2009 Rnd 1 Pick 16,United States
3,Keldon Johnson,SF,6-Jun,210,22,San Antonio Spurs,2,Kentucky,2019 Rnd 1 Pick 29,United States
45,Keon Johnson,PG,4-Jun,185,19,Los Angeles Clippers,0,Tennessee,2021 Rnd 1 Pick 21,United States
15,Nikola Jokic,C,1-Jul,284,26,Denver Nuggets,6,KK Mega Bemax (Serbia),2014 Rnd 2 Pick 11,Serbia
15,Damian Jones,PF,1-Jul,245,26,Sacramento Kings,5,Vanderbilt,2016 Rnd 1 Pick 30,United States
5,Derrick Jones,SF,6-Jun,210,24,Chicago Bulls,5,UNLV,"2016 NBA Draft, Undrafted",United States
5,Herb Jones,SF,6-Jun,206,23,New Orleans Pelicans,0,Alabama,2021 Rnd 2 Pick 5,United States
23,Kai Jones,PF,10-Jun,225,20,Charlotte Hornets,0,Texas,2021 Rnd 1 Pick 19,Bahamas
33,Tre Jones,PG,3-Jun,185,21,San Antonio Spurs,1,Duke,2020 Rnd 2 Pick 11,United States
21,Tyus Jones,PG,1-Jun,196,25,Memphis Grizzlies,6,Duke,2015 Rnd 1 Pick 24,United States
10,DeAndre Jordan,C,11-Jun,265,33,Los Angeles Lakers,13,Texas A&M,2008 Rnd 2 Pick 5,United States
18,Cory Joseph,PG,3-Jun,200,30,Detroit Pistons,10,Texas,2011 Rnd 1 Pick 29,Canada
41,Frank Kaminsky,F,1-Jul,242,28,Phoenix Suns,6,Wisconsin,2015 Rnd 1 Pick 9,United States
13,Enes Kanter,F,10-Jun,250,29,Boston Celtics,10,Kentucky,2011 Rnd 1 Pick 3,Switzerland
5,Luke Kennard,SG,5-Jun,206,25,Los Angeles Clippers,4,Duke,2017 Rnd 1 Pick 12,United States
14,Louis King,SF,7-Jun,205,22,Sacramento Kings,2,Oregon,"2019 NBA Draft, Undrafted",United States
24,Corey Kispert,SF,7-Jun,220,22,Washington Wizards,0,Gonzaga,2021 Rnd 1 Pick 15,United States
42,Maxi Kleber,PF,10-Jun,240,29,Dallas Mavericks,4,s.Oliver Baskets (Germany),"2014 NBA Draft, Undrafted",Germany
13,Nathan Knight,PF,8-Jun,244,24,Minnesota Timberwolves,1,William & Mary,"2020 NBA Draft, Undrafted",United States
20,Kevin Knox,SF,9-Jun,215,22,New York Knicks,3,Kentucky,2018 Rnd 1 Pick 9,United States
46,John Konchar,G,5-Jun,210,25,Memphis Grizzlies,2,Fort Wayne,"2019 NBA Draft, Undrafted",United States
30,Furkan Korkmaz,SG,7-Jun,210,24,Philadelphia Sixers,4,Anadolu Efes (Turkey),2016 Rnd 1 Pick 26,Turkey
27,Vit Krejci,PG,8-Jun,195,21,Oklahoma City Thunder,0,Zaragoza U18 (Spain),2020 Rnd 2 Pick 7,Czech Republic
98,Arnoldas Kulboka,SF,10-Jun,225,24,Charlotte Hornets,0,Orlandina Basket (Italy),2018 Rnd 2 Pick 25,Lithuania
0,Jonathan Kuminga,F,8-Jun,210,19,Golden State Warriors,0,NBA G League Ignite,2021 Rnd 1 Pick 7,Democratic Republic of the Congo
33,Kyle Kuzma,F,10-Jun,221,26,Washington Wizards,4,Utah,2017 Rnd 1 Pick 27,United States
8,Zach LaVine,SG,5-Jun,202,26,Chicago Bulls,7,UCLA,2014 Rnd 1 Pick 13,United States
26,Jeremy Lamb,SG,5-Jun,185,29,Indiana Pacers,9,Connecticut,2012 Rnd 1 Pick 12,United States
34,Jock Landale,C,11-Jun,255,26,San Antonio Spurs,0,Saint Mary's,"2018 NBA Draft, Undrafted",Australia
9,Romeo Langford,SG,4-Jun,215,22,Boston Celtics,2,Indiana,2019 Rnd 1 Pick 14,United States
10,Jake Layman,SF,8-Jun,212,27,Minnesota Timberwolves,5,Maryland,2016 Rnd 2 Pick 17,United States
22,Caris LeVert,G,6-Jun,205,27,Indiana Pacers,5,Michigan,2016 Rnd 1 Pick 20,United States
1,Damion Lee,G,5-Jun,203,29,Golden State Warriors,4,Louisville,"2016 NBA Draft, Undrafted",United States
38,Saben Lee,PG,2-Jun,183,22,Detroit Pistons,1,Vanderbilt,2020 Rnd 2 Pick 8,United States
25,Alex Len,C,1-Jul,250,28,Sacramento Kings,8,Maryland,2013 Rnd 1 Pick 5,Ukraine
2,Kawhi Leonard,F,7-Jun,225,30,Los Angeles Clippers,10,San Diego State,2011 Rnd 1 Pick 15,United States
13,"Kira Lewis, Jr.",PG,1-Jun,170,20,New Orleans Pelicans,1,Alabama,2020 Rnd 1 Pick 13,United States
16,Scottie Lewis,SF,4-Jun,190,22,Charlotte Hornets,0,Florida,2021 Rnd 2 Pick 26,United States
0,Damian Lillard,G,2-Jun,195,31,Portland Trail Blazers,9,Weber State,2012 Rnd 1 Pick 6,United States
9,Nassir Little,SF,5-Jun,220,21,Portland Trail Blazers,2,North Carolina,2019 Rnd 1 Pick 25,United States
12,Isaiah Livers,PF,7-Jun,230,23,Detroit Pistons,0,Michigan,2021 Rnd 2 Pick 12,United States
5,Kevon Looney,PF,9-Jun,250,25,Golden State Warriors,6,UCLA,2015 Rnd 1 Pick 30,United States
11,Brook Lopez,C,1-Jul,270,33,Milwaukee Bucks,13,Stanford,2008 Rnd 1 Pick 10,United States
33,Robin Lopez,FC,1-Jul,281,33,Orlando Magic,13,Stanford,2008 Rnd 1 Pick 15,United States
0,Didi Louzada,SF,5-Jun,210,22,New Orleans Pelicans,1,Franca (Brazil),2019 Rnd 2 Pick 5,Brazil
0,Kevin Love,FC,8-Jun,247,33,Cleveland Cavaliers,13,UCLA,2008 Rnd 1 Pick 5,United States
7,Kyle Lowry,PG,1-Jun,196,35,Miami Heat,15,Villanova,2006 Rnd 1 Pick 24,United States
7,Timothe Luwawu-Cabarrot,F,7-Jun,210,26,Atlanta Hawks,5,KK Mega Bemax (Serbia),2016 Rnd 1 Pick 24,France
8,Trey Lyles,SF,9-Jun,234,26,Detroit Pistons,6,Kentucky,2015 Rnd 1 Pick 12,Canada
11,Theo Maledon,PG,5-Jun,180,20,Oklahoma City Thunder,1,ASVEL Basket (France),2020 Rnd 2 Pick 4,France
54,Sandro Mamukelashvili,F,11-Jun,240,24,Milwaukee Bucks,0,Seton Hall,2021 Rnd 2 Pick 24,Georgia
14,Terance Mann,SG,5-Jun,215,25,Los Angeles Clippers,2,Florida State,2019 Rnd 2 Pick 18,United States
23,Tre Mann,PG,5-Jun,190,20,Oklahoma City Thunder,0,Florida,2021 Rnd 1 Pick 18,United States
51,Boban Marjanovic,C,4-Jul,290,33,Dallas Mavericks,6,KK Vrsac Swisslion (Serbia),"2010 NBA Draft, Undrafted",Serbia
24,Lauri Markkanen,SF,1-Jul,238,24,Cleveland Cavaliers,4,Arizona,2017 Rnd 1 Pick 7,Finland
8,Naji Marshall,SF,7-Jun,220,23,New Orleans Pelicans,1,Xavier,"2020 NBA Draft, Undrafted",United States
16,Caleb Martin,F,7-Jun,205,26,Miami Heat,2,Nevada,"2019 NBA Draft, Undrafted",United States
11,Cody Martin,F,6-Jun,200,26,Charlotte Hornets,2,Nevada,2019 Rnd 2 Pick 6,United States
6,Kenyon Martin Jr.,F,7-Jun,215,20,Houston Rockets,1,IMG Academy (Florida),2020 Rnd 2 Pick 22,United States
21,Kelan Martin,SF,5-Jun,230,26,Indiana Pacers,2,Butler,"2018 NBA Draft, Undrafted",United States
24,Garrison Mathews,SG,5-Jun,215,25,Houston Rockets,2,Lipscomb,"2019 NBA Draft, Undrafted",United States
0,Tyrese Maxey,PG,2-Jun,195,21,Philadelphia Sixers,1,Kentucky,2020 Rnd 1 Pick 21,United States
4,Skylar Mays,PG,4-Jun,205,24,Atlanta Hawks,1,LSU,2020 Rnd 2 Pick 20,United States
2,Miles McBride,G,2-Jun,196,21,New York Knicks,0,West Virginia,2021 Rnd 2 Pick 6,United States
3,Cj McCollum,G,3-Jun,190,30,Portland Trail Blazers,8,Lehigh,2013 Rnd 1 Pick 10,United States
9,TJ McConnell,G,2-Jun,190,29,Indiana Pacers,6,Arizona,"2015 NBA Draft, Undrafted",United States
3,Jaden McDaniels,F,9-Jun,185,21,Minnesota Timberwolves,1,Washington,2020 Rnd 1 Pick 28,United States
6,Jalen McDaniels,PF,9-Jun,212,23,Charlotte Hornets,2,San Diego State,2019 Rnd 2 Pick 22,United States
17,Doug McDermott,F,8-Jun,225,29,San Antonio Spurs,7,Creighton,2014 Rnd 1 Pick 11,United States
34,JaVale McGee,C,1-Jul,270,33,Phoenix Suns,13,Nevada,2008 Rnd 1 Pick 18,United States
17,Rodney McGruder,SG,4-Jun,205,30,Detroit Pistons,5,Kansas State,"2013 NBA Draft, Undrafted",United States
30,JaQuori McLaughlin,PG,4-Jun,190,24,Dallas Mavericks,0,UC Santa Barbara,"2021 NBA Draft, Undrafted",United States
6,Jordan McLaughlin,G,1-Jun,185,25,Minnesota Timberwolves,2,USC,"2018 NBA Draft, Undrafted",United States
23,Ben McLemore,SG,3-Jun,195,28,Portland Trail Blazers,8,Kansas,2013 Rnd 1 Pick 7,United States
0,De'Anthony Melton,SG,2-Jun,200,23,Memphis Grizzlies,3,USC,2018 Rnd 2 Pick 16,United States
25,Sam Merrill,G,4-Jun,197,25,Memphis Grizzlies,1,Utah State,2020 Rnd 2 Pick 30,United States
25,Chimezie Metu,PF,10-Jun,225,24,Sacramento Kings,3,USC,2018 Rnd 2 Pick 19,United States
22,Khris Middleton,SF,8-Jun,222,30,Milwaukee Bucks,9,Texas A&M,2012 Rnd 2 Pick 9,United States
8,Patty Mills,G,1-Jun,180,33,Brooklyn Nets,12,Saint Mary's,2009 Rnd 2 Pick 25,Australia
31,Paul Millsap,FC,7-Jun,250,36,Brooklyn Nets,15,Louisiana Tech,2006 Rnd 2 Pick 17,United States
18,Shake Milton,SG,5-Jun,215,25,Philadelphia Sixers,3,Southern Methodist,2018 Rnd 2 Pick 24,United States
15,Davion Mitchell,PG,2-Jun,205,23,Sacramento Kings,0,Baylor,2021 Rnd 1 Pick 9,United States
45,Donovan Mitchell,SG,3-Jun,215,25,Utah Jazz,4,Louisville,2017 Rnd 1 Pick 13,United States
4,Evan Mobley,PF,1-Jul,215,20,Cleveland Cavaliers,0,USC,2021 Rnd 1 Pick 3,United States
11,Malik Monk,SG,3-Jun,200,23,Los Angeles Lakers,4,Kentucky,2017 Rnd 1 Pick 11,United States
4,Moses Moody,SG,6-Jun,205,19,Golden State Warriors,0,Arkansas,2021 Rnd 1 Pick 14,United States
55,ETwaun Moore,SG,4-Jun,191,32,Orlando Magic,10,Purdue,2011 Rnd 2 Pick 25,United States
12,Ja Morant,G,3-Jun,175,22,Memphis Grizzlies,2,Murray State,2019 Rnd 1 Pick 2,United States
8,Marcus Morris,F,8-Jun,218,32,Los Angeles Clippers,10,Kansas,2011 Rnd 1 Pick 14,United States
8,Markieff Morris,PF,10-Jun,245,32,Miami Heat,10,Kansas,2011 Rnd 1 Pick 13,United States
11,Monte Morris,G,2-Jun,183,26,Denver Nuggets,4,Iowa State,2017 Rnd 2 Pick 21,United States
2,Mychal Mulder,GF,4-Jun,193,27,Orlando Magic,2,Kentucky,"2017 NBA Draft, Undrafted",Canada
25,Trey Murphy III,G,8-Jun,208,21,New Orleans Pelicans,0,Virginia,2021 Rnd 1 Pick 17,United States
5,Dejounte Murray,SG,5-Jun,180,25,San Antonio Spurs,5,Washington,2016 Rnd 1 Pick 29,United States
27,Jamal Murray,SG,4-Jun,215,24,Denver Nuggets,5,Kentucky,2016 Rnd 1 Pick 7,Canada
33,Mike Muscala,FC,11-Jun,240,30,Oklahoma City Thunder,8,Bucknell,2013 Rnd 2 Pick 14,United States
14,Svi Mykhailiuk,SF,8-Jun,205,24,Toronto Raptors,3,Kansas,2018 Rnd 2 Pick 17,Ukraine
11,Abdel Nader,SF,6-Jun,225,28,Phoenix Suns,4,Iowa State,2016 Rnd 2 Pick 28,United States
11,"Larry Nance, Jr.",SF,7-Jun,245,28,Portland Trail Blazers,6,Wyoming,2015 Rnd 1 Pick 27,United States
